"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1154",1154,0,0,3.1772807687521,76136.3262398786,0,0,0,0
"1155",1155,0,0,3.75426530838013,76136.3262783103,0,0,0,0
"1156",1156,0,0,3.36575174331665,76136.3262859128,0,0,0,0
"1157",1157,0,0,3.50878155231476,76136.3263524192,0,0,0,0
"1158",1158,0,0,3.21486388146877,76136.3263795138,0,0,0,0
"1159",1159,0,0,3.05302473530173,76136.326395629,0,0,0,0
"1160",1160,0,0,3.10168994963169,76136.3264010183,0,0,0,0
"1161",1161,0,0,3.30657228827477,76136.326415043,0,0,0,0
"1162",1162,0,0,3.19677890837193,76136.3264535667,0,0,0,0
"1163",1163,0,0,3.07760199159384,76136.3265202034,0,0,0,0
"1164",1164,0,0,3.1818663328886,76136.3265514293,0,0,0,0
"1165",1165,0,0,3.29961717128754,76136.326562116,0,0,0,0
"1166",1166,0,0,3.13986390829086,76136.326566686,0,0,0,0
"1167",1167,0,0,3.52717709541321,76136.3266129355,0,0,0,0
"1168",1168,0,0,3.0794100984931,76136.3266186216,0,0,0,0
"1169",1169,0,0,3.153598934412,76136.3266208096,0,0,0,0
"1170",1170,0,0,3.13772866129875,76136.3266261153,0,0,0,0
"1171",1171,0,0,4.93121588230133,76136.3266387363,0,0,0,0
"1172",1172,0,0,3.09495533257723,76136.3266463408,0,0,0,0
"1173",1173,0,0,4.19466936588287,76136.3266488847,0,0,0,0
"1174",1174,0,0,3.14968171715736,76136.3267057903,0,0,0,0
"1175",1175,0,0,3.1837600171566,76136.3267267555,0,0,0,0
"1176",1176,0,0,3.46139091253281,76136.3267430293,0,0,0,0
"1177",1177,0,0,3.06732853502035,76136.326743156,0,0,0,0
"1178",1178,0,0,3.56751519441605,76136.3267793886,0,0,0,0
"1179",1179,0,0,3.06700257211924,76136.3267842027,0,0,0,0
"1180",1180,0,0,3.90136301517487,76136.32679005,0,0,0,0
"1181",1181,0,0,3.14945140480995,76136.3268065242,0,0,0,0
"1182",1182,0,0,3.06951446831226,76136.3268331176,0,0,0,0
"1183",1183,0,0,3.89956563711166,76136.3268657515,0,0,0,0
"1184",1184,0,0,3.12590186297894,76136.3268981083,0,0,0,0
"1185",1185,0,0,3.86648112535477,76136.326918837,0,0,0,0
"1186",1186,0,0,3.19160749018192,76136.326961727,0,0,0,0
"1187",1187,0,0,3.60580784082413,76136.3269718472,0,0,0,0
"1188",1188,0,0,3.60803228616714,76136.32703161,0,0,0,0
"1189",1189,0,0,3.10631831735373,76136.3270355213,0,0,0,0
"1190",1190,0,0,3.35958606004715,76136.3270368924,0,0,0,0
"1191",1191,0,0,3.55050748586655,76136.3270708924,0,0,0,0
"1192",1192,0,0,3.44308742880821,76136.3270762271,0,0,0,0
"1193",1193,0,0,5.16840982437134,76136.3270763311,0,0,0,0
"1194",1194,0,0,3.03007109649479,76136.3270794686,0,0,0,0
"1195",1195,0,0,3.10390973091125,76136.3271219393,0,0,0,0
"1196",1196,0,0,3.57125633955002,76136.3271242409,0,0,0,0
"1197",1197,0,0,4.3830451965332,76136.3271250561,0,0,0,0
"1198",1198,0,0,3.38179090619087,76136.3271293816,0,0,0,0
"1199",1199,0,0,3.21401958167553,76136.327147095,0,0,0,0
"1200",1200,0,0,3.3421570956707,76136.3271878325,0,0,0,0
"1201",1201,0,0,3.21840679645538,76136.3271964452,0,0,0,0
"1202",1202,0,0,3.42680588364601,76136.3271976725,0,0,0,0
"1203",1203,0,0,3.27005064487457,76136.3272027558,0,0,0,0
"1204",1204,0,0,3.08286135643721,76136.3272310364,0,0,0,0
"1205",1205,0,0,3.01647463440895,76136.3272546032,0,0,0,0
"1206",1206,0,0,4.94050574302673,76136.3272848323,0,0,0,0
"1207",1207,0,0,3.07937268167734,76136.3272912383,0,0,0,0
"1208",1208,0,0,5.10502862930298,76136.3272976711,0,0,0,0
"1209",1209,0,0,3.00152113172226,76136.3273383382,0,0,0,0
"1210",1210,0,0,3.08165691792965,76136.3273667774,0,0,0,0
"1211",1211,0,0,3.34780496358871,76136.3274364364,0,0,0,0
"1212",1212,0,0,3.83994942903519,76136.327454306,0,0,0,0
"1213",1213,0,0,3.01268504094332,76136.3274894272,0,0,0,0
"1214",1214,0,0,3.6676869392395,76136.3274978245,0,0,0,0
"1215",1215,0,0,3.19483709335327,76136.3275485555,0,0,0,0
"1216",1216,0,0,3.00940631050617,76136.327631495,0,0,0,0
"1217",1217,0,0,3.2153392881155,76136.3276317067,0,0,0,0
"1218",1218,0,0,3.37962731719017,76136.327635443,0,0,0,0
"1219",1219,0,0,3.3205581009388,76136.3276398253,0,0,0,0
"1220",1220,0,0,3.84009450674057,76136.3276622088,0,0,0,0
"1221",1221,0,0,3.32366651296616,76136.3277735043,0,0,0,0
"1222",1222,0,0,3.17703329026699,76136.327824321,0,0,0,0
"1223",1223,0,0,3.69914519786835,76136.3278614509,0,0,0,0
"1224",1224,0,0,3.4082342684269,76136.3278798571,0,0,0,0
"1225",1225,0,0,3.05032267421484,76136.3279627516,0,0,0,0
"1226",1226,0,0,3.15253759920597,76136.3280199437,0,0,0,0
"1227",1227,0,0,3.90309327840805,76136.3280559145,0,0,0,0
"1228",1228,0,0,3.56587052345276,76136.3280582594,0,0,0,0
"1229",1229,0,0,3.03139712661505,76136.3280849689,0,0,0,0
"1230",1230,0,0,3.26039218902588,76136.3281484984,0,0,0,0
"1231",1231,0,0,3.55156749486923,76136.3281496324,0,0,0,0
"1232",1232,0,0,3.42085081338882,76136.3281771,0,0,0,0
"1233",1233,0,0,3.21292580664158,76136.3281926281,0,0,0,0
"1234",1234,0,0,4.35769104957581,76136.3283013733,0,0,0,0
"1235",1235,0,0,3.62847673892975,76136.3283387396,0,0,0,0
"1236",1236,0,0,3.16651943325996,76136.3284249951,0,0,0,0
"1237",1237,0,0,3.62810850143433,76136.3284434685,0,0,0,0
"1238",1238,0,0,3.39461800456047,76136.3284493027,0,0,0,0
"1239",1239,0,0,3.69597846269608,76136.328458848,0,0,0,0
"1240",1240,0,0,4.13482320308685,76136.328474024,0,0,0,0
"1241",1241,0,0,4.30414998531342,76136.3285198378,0,0,0,0
"1242",1242,0,0,3.02360906265676,76136.3285323368,0,0,0,0
"1243",1243,0,0,3.07397505640984,76136.3285426539,0,0,0,0
"1244",1244,0,0,3.33683377504349,76136.3285442519,0,0,0,0
"1245",1245,0,0,3.29866951704025,76136.3285490342,0,0,0,0
"1246",1246,0,0,3.16305446624756,76136.3285610198,0,0,0,0
"1247",1247,0,0,3.51586759090424,76136.3286684521,0,0,0,0
"1248",1248,0,0,4.12198436260223,76136.3286849852,0,0,0,0
"1249",1249,0,0,3.01057147514075,76136.3286951324,0,0,0,0
"1250",1250,0,0,3.00568605214357,76136.328725607,0,0,0,0
"1251",1251,0,0,3.10061069577932,76136.3287426138,0,0,0,0
"1252",1252,0,0,3.12457007169724,76136.3287901322,0,0,0,0
"1253",1253,0,0,3.72179591655731,76136.328806774,0,0,0,0
"1254",1254,0,0,4.4306572675705,76136.3288125328,0,0,0,0
"1255",1255,0,0,3.26266220211983,76136.3288911034,0,0,0,0
"1256",1256,0,0,3.0375040769577,76136.3288950142,0,0,0,0
"1257",1257,0,0,3.43774768710136,76136.3288952016,0,0,0,0
"1258",1258,0,0,4.91028809547424,76136.3289221211,0,0,0,0
"1259",1259,0,0,3.00340150040574,76136.3290120327,0,0,0,0
"1260",1260,0,0,3.48792833089828,76136.3291111294,0,0,0,0
"1261",1261,0,0,3.20903228223324,76136.3291169436,0,0,0,0
"1262",1262,0,0,3.3471508026123,76136.3291386814,0,0,0,0
"1263",1263,0,0,3.45840626955032,76136.3292602721,0,0,0,0
"1264",1264,0,0,3.42166817188263,76136.3293113946,0,0,0,0
"1265",1265,0,0,3.32640069723129,76136.3293319454,0,0,0,0
"1266",1266,0,0,3.19132460653782,76136.3294206827,0,0,0,0
"1267",1267,0,0,3.46373409032822,76136.3294321978,0,0,0,0
"1268",1268,0,0,3.22102676331997,76136.3295326035,0,0,0,0
"1269",1269,0,0,3.11848186701536,76136.3295773398,0,0,0,0
"1270",1270,0,0,3.40625396370888,76136.329643386,0,0,0,0
"1271",1271,0,0,4.14629137516022,76136.3296479629,0,0,0,0
"1272",1272,0,0,3.27362182736397,76136.3296501356,0,0,0,0
"1273",1273,0,0,3.21263942122459,76136.3298669094,0,0,0,0
"1274",1274,0,0,3.02441008575261,76136.3299464422,0,0,0,0
"1275",1275,0,0,3.52807909250259,76136.3299559445,0,0,0,0
"1276",1276,0,0,3.97391653060913,76136.329964323,0,0,0,0
"1277",1277,0,0,3.63811326026917,76136.3299645718,0,0,0,0
"1278",1278,0,0,3.29531455039978,76136.3299891867,0,0,0,0
"1279",1279,0,0,3.14400035142899,76136.330009629,0,0,0,0
"1280",1280,0,0,3.30683130025864,76136.3300706941,0,0,0,0
"1281",1281,0,0,3.9156956076622,76136.3301527318,0,0,0,0
"1282",1282,0,0,3.9827880859375,76136.3301611828,0,0,0,0
"1283",1283,0,0,3.50470787286758,76136.3301694791,0,0,0,0
"1284",1284,0,0,3.22030428051949,76136.3301907229,0,0,0,0
