% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
951 +6.450572009e+01 +6.450572009e+01 +3.925572009e+01 +3.925572009e+01 +5.1314e-01 +7.8368e-01 +3.6643e-01 +4.6979e-02 +6.9006e-01 +1.6934e-01 +4.6369e-02 +2.8496e-01 +4.8464e-02 +1.7677e-01 +6.6833e-01 +8.1909e-01 +1.0093e-01 +5.5980e-01 +1.6212e-01 +5.6840e-02 +1.2794e-01 +1.5383e-01 +2.7004e-01 +1.7343e-01
12279 +6.133369703e+01 +6.133369703e+01 +3.608369703e+01 +3.608369703e+01 +9.4346e-01 +3.6462e-01 +8.2267e-02 +4.6979e-02 +6.9006e-01 +1.6934e-01 +4.6369e-02 +2.8496e-01 +4.8464e-02 +7.1570e-02 +6.6833e-01 +8.1909e-01 +1.0093e-01 +2.6002e-01 +1.6212e-01 +5.2385e-01 +4.0880e-01 +3.3734e-01 +6.6123e-01 +1.2353e-01
16068 +6.002471986e+01 +6.002471986e+01 +3.477471986e+01 +3.477471986e+01 +9.4346e-01 +3.6462e-01 +8.2267e-02 +4.6979e-02 +6.9006e-01 +1.6934e-01 +4.6369e-02 +2.8496e-01 +4.8464e-02 +7.1570e-02 +6.6833e-01 +8.1909e-01 +1.0093e-01 +2.6002e-01 +7.7405e-01 +2.9526e-01 +2.2409e-01 +3.6943e-01 +4.6655e-01 +4.6251e-01
17881 +5.759650425e+01 +5.759650425e+01 +3.234650425e+01 +3.234650425e+01 +9.4346e-01 +3.6462e-01 +8.2267e-02 +4.6979e-02 +6.9006e-01 +1.6934e-01 +4.6369e-02 +2.8496e-01 +9.5637e-01 +1.1572e-01 +8.7615e-01 +6.4483e-01 +2.1318e-02 +4.0600e-01 +8.3581e-01 +6.4670e-01 +3.0261e-01 +2.0857e-01 +5.6297e-01 +5.1168e-01
24703 +5.731790832e+01 +5.731790832e+01 +3.206790832e+01 +3.206790832e+01 +9.4346e-01 +3.6462e-01 +8.2267e-02 +4.6979e-02 +6.9006e-01 +1.6934e-01 +4.6369e-02 +2.8496e-01 +9.5637e-01 +1.1572e-01 +8.7615e-01 +6.4483e-01 +2.1318e-02 +4.0600e-01 +8.3581e-01 +6.4670e-01 +3.0261e-01 +2.0857e-01 +5.6297e-01 +4.2590e-01
44726 +5.617090406e+01 +5.617090406e+01 +3.092090406e+01 +3.092090406e+01 +9.4346e-01 +3.6462e-01 +8.2267e-02 +4.6979e-02 +6.9006e-01 +1.6934e-01 +4.6369e-02 +2.8496e-01 +9.5637e-01 +1.1572e-01 +8.7615e-01 +6.4483e-01 +2.1318e-02 +4.0600e-01 +8.3581e-01 +6.4670e-01 +3.0261e-01 +1.3428e-01 +3.6647e-01 +1.1504e-01
84856 +5.453130437e+01 +5.453130437e+01 +2.928130437e+01 +2.928130437e+01 +9.5330e-01 +7.0163e-01 +8.2267e-02 +4.6979e-02 +9.9968e-01 +1.6934e-01 +4.6369e-02 +2.8496e-01 +9.5637e-01 +1.1572e-01 +8.7615e-01 +6.4483e-01 +2.1318e-02 +4.0600e-01 +8.3581e-01 +6.4670e-01 +3.0261e-01 +1.3428e-01 +3.6647e-01 +1.1504e-01
% function evaluation | noise-free fitness - Fopt (-1.850700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.296289626e+02 +1.296289626e+02 -5.544103744e+01 -5.544103744e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.239719667e+02 +1.239719667e+02 -6.109803327e+01 -6.109803327e+01 +1.7957e-01 +6.0855e-01 +1.4569e-02 +6.4354e-01 +4.5652e-04 +9.0387e-01 +4.6758e-02 +8.1081e-01 +4.9948e-01 +3.9837e-02 +9.9010e-01 +5.0281e-01 +2.5106e-01 +5.1688e-01 +9.1622e-01 +2.8068e-01 +4.1959e-01 +4.0228e-01 +8.4971e-01 +8.4260e-01
3 +1.228468870e+02 +1.228468870e+02 -6.222311303e+01 -6.222311303e+01 +4.7820e-01 +3.5659e-01 +3.6060e-01 +9.3237e-01 +3.3575e-02 +7.7949e-01 +3.8780e-01 +9.0672e-01 +7.9519e-01 +2.5845e-02 +8.0342e-01 +9.9535e-01 +8.2772e-01 +7.6226e-01 +1.9672e-01 +9.9218e-01 +5.1468e-01 +9.2565e-01 +7.0124e-01 +4.8679e-01
18 +1.121801873e+02 +1.121801873e+02 -7.288981271e+01 -7.288981271e+01 +1.7571e-01 +2.2595e-01 +7.2474e-01 +9.1152e-01 +8.3944e-02 +5.4365e-01 +6.6846e-01 +8.7317e-01 +8.4626e-01 +1.1749e-01 +9.7076e-01 +2.3466e-01 +7.2245e-01 +2.3346e-01 +8.5792e-01 +5.2947e-01 +1.7942e-01 +6.6614e-01 +9.5567e-01 +3.7377e-02
595 +1.087177723e+02 +1.087177723e+02 -7.635222768e+01 -7.635222768e+01 +2.5773e-01 +7.2741e-01 +6.7769e-01 +5.2651e-01 +7.9296e-01 +4.3126e-02 +4.2793e-01 +1.3843e-01 +5.5470e-01 +8.6055e-01 +6.6015e-01 +9.0959e-01 +5.8717e-01 +5.1067e-02 +9.7815e-01 +9.0547e-01 +4.6535e-01 +5.2490e-01 +7.4870e-01 +1.7148e-01
2553 +1.064380474e+02 +1.064380474e+02 -7.863195256e+01 -7.863195256e+01 +7.3494e-01 +9.2568e-01 +7.9099e-01 +6.1311e-01 +7.7893e-01 +1.9449e-01 +2.1718e-01 +6.0364e-02 +2.1098e-02 +5.8874e-02 +9.5256e-01 +9.8432e-01 +6.4099e-01 +3.3200e-01 +2.4643e-01 +7.0620e-01 +2.5007e-01 +5.3042e-01 +8.5721e-01 +1.1469e-01
16001 +1.014021443e+02 +1.014021443e+02 -8.366785570e+01 -8.366785570e+01 +6.5681e-01 +4.8325e-01 +1.9157e-02 +9.7446e-01 +3.2639e-01 +6.2038e-03 +7.7636e-01 +2.3211e-01 +4.6273e-01 +5.5142e-02 +4.7989e-01 +3.9111e-01 +8.0642e-01 +9.8677e-02 +8.2893e-01 +9.9044e-01 +9.0509e-01 +1.8516e-02 +9.6466e-01 +1.5073e-01
19850 +9.944664953e+01 +9.944664953e+01 -8.562335047e+01 -8.562335047e+01 +6.5989e-01 +9.2945e-01 +8.8451e-01 +3.5144e-01 +2.9201e-02 +1.1260e-01 +4.6507e-02 +2.3211e-01 +4.6273e-01 +5.5142e-02 +4.7989e-01 +3.9111e-01 +8.0642e-01 +9.8677e-02 +8.2893e-01 +9.9044e-01 +9.0509e-01 +1.8516e-02 +9.6466e-01 +1.5073e-01
29618 +9.766724077e+01 +9.766724077e+01 -8.740275923e+01 -8.740275923e+01 +7.2506e-02 +6.1281e-01 +7.2474e-01 +9.1152e-01 +4.0971e-02 +1.1260e-01 +4.6507e-02 +2.3211e-01 +4.6273e-01 +5.5142e-02 +4.7989e-01 +3.9111e-01 +8.0642e-01 +9.8677e-02 +8.2893e-01 +9.9044e-01 +9.0509e-01 +1.8516e-02 +9.6466e-01 +3.1056e-03
75137 +9.544808883e+01 +9.544808883e+01 -8.962191117e+01 -8.962191117e+01 +7.2105e-01 +9.7671e-01 +7.9870e-01 +9.8062e-01 +9.9987e-01 +3.4774e-02 +4.6507e-02 +2.3211e-01 +1.7411e-02 +2.1742e-02 +8.8903e-01 +2.1275e-01 +8.8899e-01 +9.8677e-02 +9.5411e-01 +9.1240e-01 +7.4109e-01 +1.8516e-02 +8.5521e-01 +1.0897e-01
% function evaluation | noise-free fitness - Fopt (-1.673500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.105576768e+01 +7.105576768e+01 -9.629423232e+01 -9.629423232e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.733000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.919016832e+01 +7.919016832e+01 +5.186016832e+01 +5.186016832e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
